"Tai Chi",33.3580748,-111.9094479,meetup.com,"Tai Chi",http://www.meetup.com/UrbanMonk-Karate-Tai-Chi-and-Health/events/230884668
"Tai Chi",40.1237642,-75.3369901,meetup.com,"Tai Chi Class",http://www.meetup.com/Womans-beginner-fitness-journey/events/230399762
"Tai Chi",47.6231142,-122.1216376,meetup.com,"Tai Chi Forms and Meditation",http://www.meetup.com/Taichiism-Tai-Chi-and-Qigong-Meditation/events/230844282
"Home Buyers",34.1390828,-117.8206855,eventbrite.com,"Home Buyers Seminar",https://www.eventbrite.com/e/home-buyers-seminar-tickets-22184734137?aff=ebrowse
"Home Buyers",37.7472663,-121.4199129,eventbrite.com,"Home Buyers Seminar",https://www.eventbrite.com/e/home-buyers-seminar-tickets-23946674147?aff=ebrowse
"Home Buyers",39.9429230,-86.0328276,meetup.com,"Home Buyers Series | First Time Home Buyer",http://www.meetup.com/Indianapolis-Real-Estate-Investors-Association-Meetup/events/228349994
"YMCA",39.9070772,-83.0909799,meetup.com,"Pickleball",http://www.meetup.com/YMCA-of-Central-Ohio-Pickleballers/events/230750289
"YMCA",30.4217319,-91.1382472,eventbrite.com,"YMCA Annual Meeting Celebration 2016",https://www.eventbrite.com/e/ymca-annual-meeting-celebration-2016-tickets-22288725177?aff=ebrowse
"YMCA",41.2735926,-74.9372042,eventbrite.com,"Camp Speers YMCA Spring Fling",http://www.eventbrite.com/e/camp-speers-ymca-spring-fling-tickets-20701249996?aff=ebrowse
"Music Festival",38.8687501,-84.4599190,eventbrite.com,"Birds of a Feather Arts & Music Festival",http://www.eventbrite.com/e/birds-of-a-feather-arts-music-festival-tickets-21126607251?aff=ebrowse
"Music Festival",30.0442222,-90.0233657,eventbrite.com,"Essence Music Festival 2016",http://www.eventbrite.com/e/essence-music-festival-2016-tickets-17875759879?aff=ebrowse
"Music Festival",34.6531074,-118.1461995,eventbrite.com,"Mighty 'Lopes Music Festival",https://www.eventbrite.com/e/mighty-lopes-music-festival-tickets-24378912985?aff=ebrowse
"Zumba Class",38.8029945,-121.2694153,meetup.com,"Tuesdays Zumba Class !!",http://www.meetup.com/Zumba-Rockers/events/229555842
"Zumba Class",38.8070351,-121.2806299,meetup.com,"Tuesdays Zumba Class !!",http://www.meetup.com/Zumba-Rockers/events/229555833
"Zumba Class",40.7134701,-73.5576096,meetup.com,"Fun! Easy to Follow Zumba Class Wed.  7:30pm with  Linda at St. Francis Church",http://www.meetup.com/LI-Zumba/events/230711810
"Home Buyer Workshop",47.0581947,-122.7791869,eventbrite.com,"Free Home Buyer Workshop",http://www.eventbrite.com/e/free-home-buyer-workshop-tickets-3799221574?aff=ebrowse
"Home Buyer Workshop",34.0332375,-84.5977740,eventbrite.com,"Home Buyer Workshop - Atlanta, GA",http://www.eventbrite.com/e/home-buyer-workshop-atlanta-ga-tickets-21568630354?aff=ebrowse
"Home Buyer Workshop",34.0363026,-84.5959808,eventbrite.com,"Home Buyer Workshop - Atlanta, GA",http://www.eventbrite.com/e/home-buyer-workshop-atlanta-ga-tickets-21568921224?aff=ebrowse
"Networking",32.8724817,-96.7731719,meetup.com,"Let's learn about each others business and pass referrals!",http://www.meetup.com/BNI-Central-Business-Referral-Networking-Dallas/events/230723179
"Networking",33.9279760,-84.4866986,eventbrite.com,"Connect Like a PRO! A Networking Workshop For Serious Business Men & Women!",https://www.eventbrite.com/e/connect-like-a-pro-a-networking-workshop-for-serious-business-men-women-tickets-24464899172?aff=ebrowse
